年份,地区,国家,对外直接投资:截至累计
2019,非洲,布隆迪,8.2
2019,非洲,赤道几内亚,404.13
2019,非洲,多哥,101.16
2019,非洲,厄立特里亚,223.29
2019,非洲,佛得角,2.34
2019,非洲,冈比亚,13.9
2019,非洲,刚果,609.84
2019,非洲,吉布提,125.26
2019,非洲,几内亚,763.2557
2019,非洲,几内亚比绍,26.71
2019,非洲,加纳,1831.29
2019,非洲,加蓬,252.21
2019,非洲,津巴布韦,1771.48
2019,非洲,喀麦隆,303.9
2019,非洲,科摩罗,1.83
2019,非洲,科特迪瓦共和国,564.34
2019,非洲,肯尼亚,1624.23
2019,非洲,莱索托,5.93
2019,非洲,利比里亚,167.65
2019,非洲,利比亚,299.43
2019,非洲,卢旺达,167.51
2019,非洲,马达加斯加,272.9123
2019,非洲,马拉维,161.45
2019,非洲,马里,305
2019,非洲,毛里求斯,1291.68
2019,非洲,毛里塔尼亚,181.4
2019,非洲,民主刚果,5596.6
2019,非洲,摩洛哥,303.29
2019,非洲,莫桑比克,1146.75
2019,非洲,纳米比亚,363.59
2019,非洲,南非,6146.57066919
2019,非洲,南苏丹,26.88
2019,非洲,尼日尔,956.71
2019,非洲,尼日利亚,2194.0021
2019,非洲,塞拉利昂,165.32
2019,非洲,塞内加尔,234.24
2019,非洲,塞舌尔,414.05
2019,非洲,圣多美和普林西比,0.44
2019,非洲,苏丹,1203.0936
2019,非洲,坦桑尼亚,1335.54
2019,非洲,突尼斯,36.62
2019,非洲,乌干达,669.94
2019,非洲,赞比亚,2863.79
2019,非洲,乍得,648.52
2019,非洲,中非,13.98
2019,拉丁美洲,阿根廷,1808.41
2019,拉丁美洲,安提瓜和巴布达,5.44
2019,拉丁美洲,巴巴多斯,59.11
2019,拉丁美洲,巴哈马,162.02
2019,拉丁美洲,巴拿马,549.99
2019,拉丁美洲,巴西,4434.77925063
2019,拉丁美洲,玻利维亚,472.27
2019,拉丁美洲,多米尼加共和国,0.25
2019,拉丁美洲,多米尼克,3.15
2019,拉丁美洲,厄瓜多尔,647.72
2019,拉丁美洲,哥伦比亚,307.1
2019,拉丁美洲,哥斯达黎加,35.01
2019,拉丁美洲,格林纳达,27.12
2019,拉丁美洲,古巴,118
2019,拉丁美洲,圭亚那,193.44
2019,拉丁美洲,洪都拉斯,15.62
2019,拉丁美洲,开曼群岛,276145.05707485
